AAREAL BANK AG	AARBESM1XXX
DEUTSCHE BANK TRUST COMPANY AMERICAS, S.E.	BKTRESM1XXX
DEUTSCHE BANK, S.A.E.	DEUTESBBXXX
DEXIA BANCO LOCAL, S.A.	DBOLESM1XXX
DEXIA SABADELL, S.A.	DSBLESMMXXX
DRESDNER BANK A.G., S.E.	DRESESMXXXX
DZ BANK AG DEUTSCHE ZENTRAL-GEN., FRANKFURT A.M.	GENOESM1XXX
EBN BANCO DE NEGOCIOS, S.A.	PROAESMMXXX
EFG BANK (LUXEMBOURG) S.A., S.E.	EFGBESMMXXX
EQUITABLE P.C.I. BANK	PCIBESM1XXX
ESPIRITO SANTO BANK OF FLORIDA	ESBFESM1XXX
EUROHYPO A.G. EUROPAISCHE HYPOTHEKENBANK D.B.,S.E.	EEHDESM1XXX
EUROHYPO A.G., S.E.	EHYPESM1XXX
EUROPE ARAB BANK PLC, S.E.	ARABESMMXXX
FCE BANK PLC S.E.	FCEFESM1XXX
FINANZIA, BANCO DE CREDITO, S.A.	FICDESM1XXX
FORTIS BANK, S.A., S.E.	GEBAESMMXXX
FRANFINANCE, S.E.	FRANESM1XXX
GENERAL ELECTRIC CAPITAL BANK, S.A.	GEECESB1XXX
HISPAMER BANCO FINANCIERO, S.A.	BAFOESMM
HSBC BANK PLC, S.E.	MIDLESMMXXX
IKB DEUTSCHE INDUSTRIEBANK AG	IKBDESM1XXX
ING BELGIUM, S.A., S.E.	BBRUESMXXXX
ING DIRECT, N.V. S.E.	INGDESMMXXX
INSTITUTO DE CREDITO OFICIAL	ICROESMMXXX
INTESA SANPAOLO S.P.A., S.E.	BCITESMMXXX
IPAR KUTXA RURAL, S.C.C.	CVRVES2BXXX
JPMORGAN CHASE BANK NATIONAL ASSOCIATION, S.E.	CHASESM3XXX
KBC BANK NV, S.E.	KREDESMMXXX
LANDESBANK BADEN-WÜRTTEMBERG	SOLAESB1XXX
LANDESBANK HESSEN-THUERINGEN GIROZENTRALE	HELAESM1XXX
LLOYDS TSB BANK PLC, S.E.	LOYDESMMXXX
LONDON FORFAITING A PARIS, S.A.	LOFPESB1XXX
M.P. Y C.A. SAN FERNANDO DE HUELVA JEREZ Y SEVILLA	CECAESMM106
M.P. Y CAJA DE AHORROS DE HUELVA Y SEVILLA	CECAESMM098
M.P. Y CAJA GENERAL AHORROS DE BADAJOZ	CECAESMM010
M.P.C.A. RONDA, CADIZ, ALMERIA, MALAGA Y ANTEQUERA	UCJAES2MXXX
MERRILL LYNCH INTERNATIONAL BANK LTD., S.E.	MLCBESM1XXX
MERRILL LYNCH INTERNATIONAL BANK LTD., S.E.	MLIBESM1XXX
MIZUHO CORPORATE BANK LTD. S.E.	IBJTESM1XXX
MORGAN GUARANTY TRUST COMPANY OF NEW YORK, S.E.	MGTCESMXXXX
NATIONAL WESTMINSTER BANK PLC, S.E.	NWBKESMXXXX
NATIXIS, S.A., S.E.	BFCEESMMXXX
NEWCOURT FINANCE (FRANCE) S.N.C., S.E.	NFFSESM1XXX
NEWEDGE GROUP, S.E.	NEWGESM1XXX
NORWICH AND PETERBOROUGH BUILDING SOCIETY	NPBSES21XXX
OPEN BANK SANTANDER CONSUMER, S.A.	OPENESMMXXX
PHILIPPINE NATIONAL BANK, S.A.	PNBMESM1XXX
PKB PRIVATBANK AG.	PKBSES21XXX
POPULAR BANCA PRIVADA, S.A.	POPIESMMXXX
PRIVAT BANK, S.A.	PRVBESB1XXX
PRIVATBANK IHAG ZURICH	IHZUES21XXX
PROBANCA, SERVICIOS FINANCIEROS, S.A.	PROAESMMXXX
RABOBANK ESPAÑA, S.A.	PRABESMMXXX
RBC DEXIA INVESTOR SERVICES ESPAÑA, S.A.	BVALESMMXXX
RHEINHYP RHEINISCHE HYPOTHEKENBANK A.G.	RHRHESM1XXX
ROYAL BANK OF CANADA EUROPE LIMITED, S.E.	ROYCESM1XXX
ROYAL BANK OF CANADA, SUCURSAL EN ESPAÑA	ROYCESM1XXX
SANTANDER CONSUMER FINANCE, S.A.	SCFBESMMXXX
SANTANDER INVESTMENT, S.A.	SABNESMMXXX
SELF TRADE BANK, S.A.	SELFESM1XXX
SINDICATO DE BANQUEROS DE BARCELONA, S.A.	SIBBESBBXXX
SOCIETE GENERALE, S.E.	SOGEESMMXXX
SOLBANK SBD, S.A.	SLBKESBBXXX
STANDARD CHARTERED BANK	SCBLESM1XXX
SVENSKA HANDELSBANKEN	HANDES21XXX
THE BANK OF NEW YORK MELLON	IRVTESM1XXX
THE BANK OF TOKYO-MITSUBISHI UFJ, LTD, S.E.	BOTKESMXXXX
THE DAI-ICHI KANGYO BANK LIMITED, S.E.	DKBBESM1XXX
THE FUJI BANK LIMITED, S.E.	FUJIJPJTXXX
THE SAKURA BANK LIMITED, S.E.	MITKESM1XXX
THE SANWA BANK LIMITED, S.E.	SANWESM1XXX
THE SUMITOMO BANK, S.E.	SMITESMXXXX
TRIODOS BANK, N.V., S.E.	TRIOESMMXXX
UBI BANCA INTERNATIONAL, S.A., S.E.	UBIBESMMXXX
UBS BANK, S.A	UBSWESMMXXX
UBS, A.G. S.E.	UBSWESMMXXX
UNICREDIT SOCIETA PER AZIONI, S.E.	UNCRESMMXXX
UNION DE CREDITOS INMOBILIARIOS, S.A., E.F.C.	UCINESMMXXX
UNOE BANK, S.A.	UNOEESM1XXX
VOLKSWAGEN BANK GMBH, S.E.	VOWAES21XXX
WAFABANK	WAFAESM1XXX
WESTLB AG, S.E.	WELAESMMXXX
